episode,reward
1,580.0
2,595.0
3,440.0
4,540.0
5,445.0
6,915.0
7,660.0
8,815.0
9,750.0
10,675.0
11,1125.0
12,755.0
13,615.0
14,1370.0
15,615.0
16,540.0
17,450.0
18,530.0
19,575.0
20,1085.0
21,735.0
22,740.0
23,370.0
24,735.0
25,570.0
26,1110.0
27,480.0
28,465.0
29,720.0
30,475.0
31,810.0
32,495.0
33,1155.0
34,555.0
35,615.0
36,945.0
37,1155.0
38,705.0
39,660.0
40,625.0
41,1095.0
42,1065.0
43,440.0
44,770.0
45,755.0
46,910.0
47,1040.0
48,515.0
49,605.0
50,810.0
51,610.0
52,700.0
53,1335.0
54,585.0
55,285.0
56,855.0
57,510.0
58,515.0
59,540.0
60,970.0
61,925.0
62,620.0
63,975.0
64,470.0
65,755.0
66,445.0
67,330.0
68,545.0
69,425.0
70,740.0
71,555.0
72,380.0
73,555.0
74,1035.0
75,425.0
76,640.0
77,430.0
78,435.0
79,590.0
80,1045.0
81,1135.0
82,460.0
83,330.0
84,715.0
85,995.0
86,630.0
87,685.0
88,430.0
89,565.0
90,995.0
91,445.0
92,600.0
93,600.0
94,570.0
95,630.0
96,750.0
97,725.0
98,370.0
99,1120.0
100,795.0
